,cluster_number,lesion_label,lesion_volume,lesion_centroid,RLoc,angleA,heightR,critical_index,sign,Alarm,,,,,,cos2.15x,,,tanh
0,11,9,0.318145752,[ 147.94004796  276.01918465   25.        ],[-0.98735361  0.15054677  0.04968426],-81.33059667,0.714285714,1,-1,0,,-0.27019071,,,,-0.317506277,,-0.309270036,
0,12,9,0.290679932,[ 219.71128609  241.04461942   14.79790026],[-0.08718927 -0.99614653 -0.00949333],5.002154041,0.42279715,0,-1,0,,-0.001107078,,,,-0.00255285,,-0.005714691,
0,13,12,0.215911865,[ 139.01060071  218.60070671   28.        ],[-0.8055788  -0.59089685  0.04340175],53.73973116,0.8,1,-1,0,,-0.088209891,,,,-0.154500891,,-0.151451173,
0,14,9,0.215148926,[ 106.63829787  353.55319149   23.        ],[-0.78135031  0.62311886  0.03485096],-51.42799859,0.657142857,1,-1,0,,-0.081004083,,,,-0.145371256,,-0.140297624,
0,CONT7,,,,,,,,,,,0,-34.42886217,,,0,52.14792289,0,51.67530168
0,1,15,38.75134329,[ 318.70724783  276.83729363   17.25737189],[ 0.98941076  0.14127205 -0.03329509],81.87400342,0.522950663,1,1,0,,33.27382476,,,,38.70482926,,37.72468699,
0,2,25,10.63822185,[ 323.36273573  214.76588164   14.88198488],[ 0.78341802 -0.6208166  -0.02903381],-51.60507028,0.450969239,1,1,0,,4.031051764,,,,7.221053706,,6.978793857,
0,3,25,0.491834016,[ 311.21992481  294.4943609    17.52067669],[ 0.89864787  0.43766667 -0.02966294],64.03262116,0.530929597,1,1,0,,0.276479893,,,,0.427718582,,0.425595007,
0,tutorial3,,,,,,,,,,,0,37.58135642,,,0,46.35360155,0,45.12907586
0,1,1,71.284,[ 67.67705235  96.13103922  88.87642388],[-0.83603354 -0.49842247  0.22939695],59.19765126,0.522802493,1,-1,0,,-34.78102643,34.78102643,,,-57.22824085,57.22824085,-57.0427267,57.0427267
