,cluster_number,lesion_label,lesion_volume,lesion_centroid,RLoc,angleA,heightR,critical_index,sign,Alarm,,,,,atan,,
0,6,19,0.204624541,[ 137.38423645  247.2955665     9.        ],[-0.99245721  0.1222663   0.00892385],-82.97680339,0.321428571,1,-1,0,,-0.204584657,,,-0.199744062,,
0,CONT14,,,,,,,,,,,0,6.137096522,,0,5.901737191,
0,1,7,0.859917922,[ 321.74899329  227.3704698     9.65369128],[ 0.70186448 -0.71172197  0.02894971],-44.60046086,0.332885906,1,1,0,,0.474088284,,,0.421565008,,
0,2,7,0.273557782,[ 281.11392405  159.48523207   16.47679325],[ 0.07668118 -0.99703776  0.00597472],-4.397903519,0.568165284,0,1,0,,0.001858345,,,0.005075372,,
0,3,19,0.219307926,[ 305.04736842  222.23157895    9.12105263],[ 0.52148265 -0.8530725   0.01797657],-31.43741667,0.314519056,1,1,0,,0.067851181,,,0.046030645,,
0,CONT15,,,,,,,,,,,0,0.54379781,,0,0.472671025,
0,1,19,13.96100376,[ 155.93972348  209.50816985    8.3505656 ],[-0.95327645 -0.30198829  0.00819037],72.42232764,0.309280208,1,-1,0,,-13.34295541,,,-13.06539225,,
0,2,7,12.60602574,[ 169.35302306  214.88046965    8.52302851],[-0.95526358 -0.29565135  0.00785946],72.80285332,0.315667722,1,-1,0,,-12.08440014,,,-11.8250325,,
0,3,7,12.50836967,[ 221.5589509    92.72143946   10.79664532],[-0.29997679 -0.95394351  0.00238799],17.45626058,0.399875753,0,-1,1,,-1.294464439,,,-0.793558426,,
0,4,7,7.743821418,[ 316.77280788   86.1946798    10.95576355],[ 0.26920202 -0.96307353 -0.00443261],-15.6169453,0.40576902,0,1,1,,0.646032955,,,0.414779167,,
0,5,19,4.258720311,[ 201.05678968   75.27642422   11.180043  ],[-0.37538801 -0.92686064  0.00363362],22.04844952,0.414075666,0,-1,0,,-0.688161419,,,-0.408553568,,
0,6,7,0.816343736,[ 396.07196262  279.17196262    8.63364486],[ 0.97808547  0.20767667 -0.01480594],78.01243258,0.319764624,1,1,0,,0.807014907,,,0.785177773,,
0,7,7,0.746153433,[ 242.02862986   68.69836401   15.54192229],[-0.15558727 -0.98781807  0.0028407 ],8.950894216,0.575626751,0,-1,0,,-0.020847113,,,-0.021380413,,
0,8,19,0.682066635,[ 367.76286353   91.37807606   11.64876957],[ 0.5166655  -0.85615824 -0.00705943],-31.10970568,0.43143591,1,1,0,,0.207155917,,,0.139569994,,
0,9,19,0.485991551,[ 408.37048666  281.46310832    8.22762951],[ 0.97901184  0.20326548 -0.0147971 ],78.27071668,0.304727019,1,1,0,,0.480927325,,,0.467882893,,
0,10,19,0.373839655,[ 240.48163265   90.88163265    9.28979592],[ -1.88213223e-01  -9.82128158e-01   2.54214753e-04],10.84852862,0.344066515,0,-1,0,,-0.015275408,,,-0.012820179,,
0,11,19,0.336455689,[ 251.83900227   56.13151927   15.39909297],[-0.0978292  -0.99520117  0.00201921],5.614191247,0.570336777,0,-1,0,,-0.003719351,,,-0.007013889,,
0,12,19,0.239562554,[ 217.33121019  148.08598726    8.        ],[-0.46287755 -0.88642041  0.00179956],27.57299517,0.296296296,0,-1,0,,-0.058595332,,,-0.036901327,,
0,13,19,0.232696112,[ 289.75409836   62.40983607    9.        ],[ 0.09561007 -0.99541425 -0.00303126],-5.48645917,0.333333333,0,1,0,,0.002457031,,,0.004791931,,
0,14,40,0.227355545,[ 335.79865772  155.94966443   19.11073826],[ 0.58509296 -0.81095972 -0.00325026],-35.80977578,0.707805121,1,1,0,,0.088088474,,,0.06579958,,
0,15,13,0.212096784,[ 304.70503597  283.67985612   22.67985612],[ 0.76599548  0.6428322   0.00420687],49.99623959,0.839994671,0,1,0,,0.137923486,,,0.131438855,,
0,CONT16,,,,,,,,,,,0,25.13881851,,0,24.16121236,
0,1,7,14.73281027,[ 351.79123763  274.81095632   10.68079952],[ 0.98649858 -0.15919908 -0.03842138],-80.83276183,0.368303432,1,1,0,,14.68959102,,,14.30189597,,
